,Provider Name,Procedures,Provider State,Region,Count_of_services,Charges,Payment,Cluster_23
602,D W MCMILLAN MEMORIAL HOSPITAL,31,1,1,1852,193458.55369969006,98518.68202803002,1
603,DAKOTA PLAINS SURGICAL CENTER LLP,6,1,1,717,96163.98090889999,34371.758894000006,12
604,DALE MEDICAL CENTER,26,1,1,1537,258025.36934500007,139547.7816682,1
605,DALLAS MEDICAL CENTER,23,1,1,1810,478567.99570110004,87798.85207779998,1
606,DALLAS REGIONAL MEDICAL CENTER,62,1,1,2878,2743651.3486356,450527.79189333005,15
607,DAMERON HOSPITAL,45,1,1,2284,3000164.2949074996,370180.8604152001,6
608,DANBURY HOSPITAL,119,1,1,28162,2854765.406973699,1118753.2995602991,11
609,DANVILLE REGIONAL MEDICAL CENTER,92,1,1,5645,2202913.755246802,683165.8538687401,15
610,DAUTERIVE HOSPITAL,26,1,1,820,701590.7891775,172817.78495613,1
611,DAVIESS COMMUNITY HOSPITAL,34,1,1,2137,239902.75095749996,130985.59663627998,1
612,DAVIS HOSPITAL AND MEDICAL CENTER,41,1,1,3453,489808.20235939993,164168.23212092998,1
613,DAVIS MEMORIAL HOSPITAL,69,1,1,9202,609896.2388066599,329072.97827945004,6
614,DAVIS REGIONAL MEDICAL CENTER,52,1,1,2415,1072417.0687742997,291706.32286632,20
615,DAY KIMBALL HOSPITAL,51,1,1,5518,425900.9894809499,257301.53135978006,20
616,DEACONESS HOSPITAL,105,2,2,13306,4625050.984834697,1253115.1078508198,10
617,DEACONESS HOSPITAL INC,120,1,1,53676,3135227.0740494584,829804.3401798306,16
618,DEARBORN COUNTY HOSPITAL,60,1,1,7327,809221.1509490605,274321.1912393101,20
619,DEBORAH HEART AND LUNG CENTER,47,1,1,24202,2119841.3411971997,382205.86328572,6
620,DECATUR COUNTY GENERAL HOSPITAL,20,1,1,1067,84890.75760708,78155.96255700002,12
621,DECATUR GENERAL HOSPITAL,75,1,1,5555,808163.2343373003,517041.5231730302,6
622,DECATUR MEMORIAL HOSPITAL,111,1,1,16332,2341013.6984187406,728138.72444614,2
623,DEKALB HEALTH,23,1,1,4224,162479.33932253002,59420.85338172,1
624,DEKALB MEDICAL CENTER,103,1,1,10127,2244704.915480399,865413.7970729899,2
625,DEKALB MEDICAL CENTER AT HILLANDALE,46,1,1,2319,711432.8916663001,278813.65465720004,20
626,DEKALB REGIONAL MEDICAL CENTER,43,1,1,2280,1069595.2001709999,202073.12541170005,20
627,DELANO REGIONAL MEDICAL CENTER,20,1,1,380,695446.23681,252977.11695199998,1
628,DELAWARE COUNTY MEMORIAL HOSPITAL,69,1,1,3579,5556814.098900101,489628.4161468202,2
629,DELNOR COMMUNITY HOSPITAL,98,1,1,10010,3118514.0233240006,597698.5125600097,2
630,DELRAY MEDICAL CENTER,111,1,1,12160,5938103.177799399,823986.9850357396,13
631,DELTA COUNTY MEMORIAL HOSPITAL,38,1,1,5177,420824.3997935001,167205.63561515,1
632,DELTA MEDICAL CENTER,32,1,1,2226,454608.90258830006,138926.73926441,1
633,DELTA REGIONAL MEDICAL CENTER,79,1,1,5072,1603639.6214568003,588958.8780629402,15
634,DENTON REGIONAL MEDICAL CENTER,85,1,1,3841,4997894.4678,734566.53430544,13
635,DENVER HEALTH MEDICAL CENTER,53,1,1,10454,1014291.1560901302,465791.4861609799,6
636,DES PERES HOSPITAL,82,1,1,5907,3228371.5004420006,595989.58635213,15
637,DESERT REGIONAL MEDICAL CENTER,81,1,1,11291,6038727.483776999,774377.6270484899,13
638,DESERT SPRINGS HOSPITAL,89,1,1,4078,5401563.725475601,766642.0033178699,13
639,DESERT VALLEY HOSPITAL,55,1,1,1918,1926580.9818948,458053.0334538999,6
640,DESOTO MEMORIAL HOSPITAL,37,1,1,1705,513188.24624904996,172119.3250963,1
641,DESOTO REGIONAL HEALTH SYSTEM,27,1,1,1022,164570.34738559998,88087.45230802998,1
642,DETAR HOSPITAL NAVARRO,82,1,1,7719,3362339.0131376595,542306.35086974,15
643,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,84,1,1,16792,2496564.737782609,981947.9873854298,2
644,DICKINSON COUNTY MEMORIAL HOSPITAL,55,1,1,3377,625382.5756381997,252193.98299724996,20
645,DIMMIT COUNTY MEMORIAL HOSPITAL,7,1,1,184,48809.505651,31547.413377,12
646,DISTRICT ONE HOSPITAL,28,1,1,1055,189743.58766020002,132407.5112159,1
647,DIVINE SAVIOR HLTHCARE,34,1,1,1848,478296.6639330999,186205.54643674,1
648,DIXIE REGIONAL MEDICAL CENTER,100,1,1,15545,1704778.6702503392,787460.8027496102,2
649,DOCTOR'S MEMORIAL HOSPITAL INC,21,1,1,715,150120.19171549997,85620.19890759999,12
650,DOCTORS DIAGNOSTIC HOSPITAL,5,1,1,83,34173.646367999994,13104.635385,12
651,DOCTORS HOSPITAL,107,3,4,23594,9922409.358976094,1923602.76314193,18
652,DOCTORS HOSPITAL AT DEER CREEK LLC,7,1,1,133,71298.72865199999,35694.036428,12
653,DOCTORS HOSPITAL AT RENAISSANCE,102,1,1,11561,3272262.7511620987,1097238.7441828903,13
654,DOCTORS HOSPITAL INC,56,1,1,2277,3329684.0680682994,503837.4197982001,15
655,DOCTORS HOSPITAL LLC,11,1,1,3233,98285.536696,20809.364687319998,12
656,DOCTORS HOSPITAL OF LAREDO,72,1,1,3705,2197376.98834722,556587.97353401,15
657,DOCTORS HOSPITAL OF MANTECA,41,1,1,1832,2864634.922067601,241835.69521553995,6
658,DOCTORS HOSPITAL OF SARASOTA,84,1,1,4434,3804295.3713691,570608.32346505,2
659,"DOCTORS HOSPITAL OF WEST COVINA, INC",2,1,1,22,64619.45454,20886.363639000003,12
660,DOCTORS HOSPITAL TIDWELL,33,1,1,622,695507.2557617002,246919.73644320003,1
661,DOCTORS MEDICAL CENTER,82,1,1,3634,10189266.2144939,1030949.5965400003,5
662,DOCTORS MEDICAL CENTER-SAN PABLO,70,1,1,7592,3821137.3667108985,672721.6237398997,2
663,DOCTORS'  COMMUNITY HOSPITAL,77,1,1,3805,987918.7856059996,930068.9950049999,15
664,DOCTORS' HOSPITAL OF MICHIGAN,28,1,1,1599,205201.53858549998,117969.95089593998,1
665,DODGE COUNTY HOSPITAL,31,1,1,1113,301445.85463940003,148969.15856370004,1
666,DOMINICAN HOSPITAL,86,1,1,11053,6140021.627369898,1006240.2869368298,13
667,DONALSONVILLE HOSPITAL INC,14,1,1,496,135988.4239703,43627.101409999996,12
668,DORMINY MEDICAL CENTER,30,1,1,2047,269035.19295699993,103733.76144375997,1
669,DOUGLAS COUNTY HOSPITAL,43,1,1,4598,514891.8256497,226493.29188589007,20
670,DOUGLAS GARDENS HOSPITAL,1,1,1,27,4964.296296,4428.629629999999,12
671,DOWNEY REGIONAL MEDICAL CENTER,75,1,1,3915,4503257.419733899,712709.4218101995,2
672,DOYLESTOWN HOSPITAL,92,1,1,6563,3428413.7291857013,703788.0743350999,2
673,DREW MEMORIAL HOSPITAL,26,1,1,2079,127653.6997777,86726.03557164001,1
674,DUBLIN METHODIST HOSPITAL,30,1,1,1736,477865.39216839994,138584.23144956,1
675,DUBOIS REGIONAL MEDICAL CENTER,83,1,1,9526,1139542.3192231902,547587.4447930397,15
676,DUKE HEALTH RALEIGH HOSPITAL,82,1,1,15181,1922393.9193865,510918.55378995015,15
677,DUKE UNIVERSITY HOSPITAL,125,1,1,155250,3906567.9855323,1425435.9774205207,9
678,"DUNCAN REGIONAL HOSPITAL, INC",61,1,1,3906,790223.0646893,258075.24001144,20
679,DUPLIN GENERAL HOSPITAL,29,1,1,1464,270676.98091760004,134699.39803217,1
680,DUPONT HOSPITAL LLC,22,1,1,3545,300285.40790264,73616.05591442001,1
681,DURHAM REGIONAL HOSPITAL,95,1,1,7945,2529859.383842099,837144.3720674405,2
682,DYERSBURG REGIONAL MEDICAL CENTER,71,1,1,4588,2127868.4073453005,355836.74092363,6
683,E A CONWAY MEDICAL CENTER,20,1,1,8853,100612.82054321002,62947.83722104998,12
684,EAGLEVILLE HOSPITAL,1,1,1,122,4458.918033,4386.819672,12
685,EARL K LONG MEDICAL CENTER,1,1,1,14,6733.142856999999,6251.071429,12
686,EAST ALABAMA MEDICAL CENTER AND SNF,116,1,1,18338,1535742.7473028698,808131.55549496,2
687,EAST CARROLL PARISH HOSPITAL,12,1,1,275,39231.541523080006,44801.59741067,12
688,EAST COOPER MEDICAL CENTER,45,1,1,2601,1181978.1274372998,211744.23549942003,20
689,"EAST EL PASO PHYSICIANS MEDICAL CENTER, LLC",28,1,1,1219,779256.8681403,154159.87875600002,1
690,EAST GEORGIA REGIONAL MEDICAL CENTER,88,1,1,7015,2338721.6023062007,604588.37738786,15
691,EAST JEFFERSON GENERAL HOSPITAL,106,1,1,12671,2753764.872273402,759379.7096267395,2
692,EAST LIVERPOOL CITY HOSPITAL,52,1,1,3411,433667.9210337399,221957.6294300599,20
693,EAST LOS ANGELES DOCTORS HOSPITAL,22,1,1,618,790736.4336337,237951.12986609997,1
694,EAST OHIO REGIONAL HOSPITAL,39,1,1,1996,563432.16819442,180887.93395269001,1
695,EAST ORANGE GENERAL HOSPITAL,67,1,1,7442,3256081.835236101,594828.3500242401,15
696,EAST TEXAS MEDICAL CENTER,119,1,1,12369,6939417.766855498,871240.45628615,5
697,EAST TEXAS MEDICAL CENTER - FAIRFIELD,14,1,1,338,272391.65568490006,61489.823631,12
698,EAST TEXAS MEDICAL CENTER - GILMER,14,1,1,411,270276.31818189996,62370.81880044,12
699,EAST TEXAS MEDICAL CENTER ATHENS,68,1,1,3652,2326154.4222471006,393599.35525305005,6
700,EAST TEXAS MEDICAL CENTER CROCKETT,33,1,1,1268,646362.1971784001,140356.63429955996,1
701,EAST TEXAS MEDICAL CENTER JACKSONVILLE,40,1,1,2020,1217641.7121132999,180269.30484215994,20
702,EAST TEXAS MEDICAL CENTER MOUNT VERNON,13,1,1,330,171644.563504,46961.7217526,12
703,EAST TEXAS MEDICAL CENTER QUITMAN,3,1,1,38,62875.92408,13776.714785,12
704,EAST TEXAS MEDICAL CENTER TRINITY,15,1,1,343,343779.8316892,71498.34207500001,12
705,EAST VALLEY HOSPITAL MEDICAL CENTER,18,1,1,368,745169.7765599999,158366.88637999998,1
706,EASTERN IDAHO REGIONAL MEDICAL CENTER,92,1,1,6578,2404586.6660375,685153.7598391001,2
707,EASTERN LONG ISLAND HOSPITAL,39,1,1,3498,718387.3647858,186361.18687139996,20
708,EASTERN MAINE MEDICAL CENTER,121,1,1,75671,2340471.1873803507,1010121.58126742,3
709,EASTERN NEW MEXICO MEDICAL CENTER,55,1,1,2875,2092564.1796276993,366346.72672171984,6
710,EASTERN NIAGARA HOSPITAL,54,1,1,3102,503910.36633939,303596.88252840005,20
711,EASTERN OKLAHOMA MEDICAL CENTER,35,1,1,1050,366816.91992853995,149736.866479,1
712,EASTERN STATE HOSPITAL,1,1,1,57,13952.84211,4946.421053,12
713,EASTLAND MEMORIAL HOSPITAL,20,1,1,851,133861.0382408,76574.24953481002,12
714,EASTON HOSPITAL,103,1,1,7204,5933270.454755199,814639.0726234505,13
715,EDEN MEDICAL CENTER,93,1,1,5261,4790556.6410229,1010252.5040805498,13
716,EDGEWOOD SURGICAL HOSPITAL,5,1,1,1119,39780.6195803,11885.6201896,12
717,EDWARD HOSPITAL,122,1,1,20161,4075579.5434517986,976785.9236429599,11
718,EDWARD JOHN  NOBLE HOSPITAL OF GOUVERNEUR,14,1,1,360,95254.72079779998,68129.85881300001,12
719,EDWARD MCCREADY MEMORIAL HOSPITAL,4,1,1,63,51630.510599999994,48532.6381,12
720,EDWARD W SPARROW HOSPITAL,121,1,1,31125,3672821.0084528215,1137809.7271097694,11
721,EDWARD WHITE HOSPITAL,45,1,1,1683,1770473.2178494,249142.26633080002,20
722,EISENHOWER MEDICAL CENTER,122,1,1,87498,8468119.757012364,982280.0960605105,22
723,EL CAMINO HOSPITAL,91,1,1,5453,7029260.334154601,1079198.0481487007,5
724,EL CAMPO MEMORIAL HOSPITAL,16,1,1,546,101377.21478630001,51183.72684923999,12
725,EL CENTRO REGIONAL MEDICAL CENTER,69,1,1,6818,2254713.697811599,520103.7360191098,15
726,EL PASO SPECIALTY HOSPITAL,12,1,1,1464,156826.8129593,37977.91076596,12
727,ELBA GENERAL HOSPITAL,13,1,1,909,44625.58698509,35476.279914340004,12
728,ELBERT MEMORIAL HOSPITAL,16,1,1,547,120413.64558570001,61636.99004393999,12
729,ELIZA COFFEE MEMORIAL HOSPITAL,103,1,1,8892,3195520.389657001,708734.6689261206,2
730,ELK REGIONAL HEALTH CENTER,54,1,1,18081,444472.57358003,187886.09299844998,20
731,ELKHART GENERAL HOSPITAL,93,1,1,8615,1896602.8997127,601079.6306879799,15
732,ELKVIEW GENERAL HOSPITAL,17,1,1,982,124060.49719460002,78704.02428439999,12
733,ELLIOT HOSPITAL,104,1,1,72086,1694839.2115436099,736135.53668832,3
734,ELLIS HOSPITAL,112,1,1,21845,2669476.457045839,759018.9873319997,11
735,ELLWOOD CITY HOSPITAL,24,1,1,1358,138073.09404357997,83533.78553243,1
736,ELMHURST HOSPITAL CENTER,59,1,1,1945,1213833.7006769998,931154.3387660002,15
737,ELMHURST MEMORIAL HOSPITAL,115,1,1,65380,4351080.27094198,846772.7910644701,16
738,ELMORE COMMUNITY HOSPITAL,13,1,1,663,52420.37643579999,44379.51292200001,12
739,EMANUEL MEDICAL CENTER,28,1,1,954,269349.75964209996,115260.03146970001,1
740,EMANUEL MEDICAL CENTER INC,86,1,1,8347,5648388.64080255,738099.7711803003,13
741,EMERSON HOSPITAL,71,1,1,11746,1026446.9853299,415081.1495731001,6
742,EMH REGIONAL MEDICAL CENTER,113,1,1,24504,1881981.365783899,736886.0519973098,11
743,EMMA L BIXBY MEDICAL CENTER,57,1,1,3880,902866.7079482999,263401.5740253999,20
744,EMORY EASTSIDE MEDICAL CENTER,92,1,1,8034,3175527.5600675005,621012.6039588501,2
745,EMORY JOHNS CREEK HOSPITAL,46,1,1,2245,828007.2793030998,257461.43056145994,20
746,EMORY UNIVERSITY HOSPITAL,100,1,1,15523,2532532.9005097793,1003233.0979929102,2
747,EMORY UNIVERSITY HOSPITAL MIDTOWN,104,1,1,13627,2601022.1550049,992504.2388945002,2
748,EMORY-ADVENTIST HOSPITAL,25,1,1,698,368575.2814724,104154.83360073,1
749,ENCINO HOSPITAL MEDICAL CENTER,22,1,1,561,922575.1509609998,167835.26695500003,1
750,ENGLEWOOD COMMUNITY HOSPITAL,58,1,1,3035,1956838.5861134003,276391.03577538,6
751,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,117,1,1,12283,6667283.261915001,1137630.1351706795,5
752,ENLOE MEDICAL CENTER,110,1,1,30726,5457156.41721738,956436.9917223599,11
753,ENNIS REGIONAL MEDICAL CENTER,31,1,1,929,656084.1084365001,177249.51066407,1
754,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,95,1,1,6960,1689516.6037520994,699582.8702120497,15
755,EPHRATA COMMUNITY HOSPITAL,66,1,1,10228,1274120.4502045996,343253.01623749995,6
756,ERIE COUNTY MEDICAL CENTER,71,1,1,19693,1232041.84793708,715092.0020793201,15
757,ERLANGER MEDICAL CENTER,107,1,1,9990,2846646.2790185492,944315.6148617599,2
758,ESPANOLA HOSPITAL,25,1,1,3494,346680.60420227004,135171.87031885996,1
759,ESSENTIA HEALTH DULUTH,29,1,1,32382,169119.6795853599,96124.37720282999,1
760,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,72,1,1,8173,844404.6370874504,374329.56623053004,6
761,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,105,1,1,8797,2657910.8838118995,984956.1840198799,2
762,ESSENTIA HEALTH ST MARYS,31,1,1,2376,293871.09815875004,147807.13030644995,1
763,ESSENTIA HEALTH-FARGO,85,1,1,20804,1389336.56586075,570591.8842968304,15
764,ETMC CARTHAGE,22,1,1,833,330839.266018,75573.04851875998,1
765,ETMC CLARKSVILLE,25,1,1,941,568384.0820919998,100209.48366180001,1
766,ETMC HENDERSON,22,1,1,766,451479.2980341001,105467.4708703,1
767,EUCLID HOSPITAL,63,1,1,7313,1195907.5975373997,345164.89956236014,6
768,EVANGELICAL COMMUNITY HOSPITAL,60,1,1,9722,572329.27465458,294457.33235278004,20
769,EVANS MEMORIAL HOSPITAL,22,1,1,762,268215.83672250004,102197.65150826001,1
770,EVANSTON HOSPITAL,126,1,1,230040,3830089.8260390013,1074327.0052490407,21
771,EVANSTON REGIONAL HOSPITAL,10,1,1,375,105910.1628873,36909.6401394,12
772,EVERGREEN HOSPITAL MEDICAL CENTER,102,1,1,40355,2797612.5568725993,860873.2018667399,11
773,EVERGREEN MEDICAL CENTER,26,1,1,966,185488.81046839998,115574.92544099998,1
774,EXCELA HEALTH FRICK HOSPITAL,36,1,1,1573,385641.85723332997,145411.72148700999,1
775,EXCELA HEALTH LATROBE HOSPITAL,53,1,1,3079,728540.7201507002,327121.56108929997,20
776,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,98,1,1,9345,1686940.7702149,600018.9359849496,15
777,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC,28,1,1,921,979614.2183151997,170034.99556789998,1
778,EXEMPLA LUTHERAN MEDICAL CENTER,97,1,1,5667,3376823.1940315007,696542.3283853999,2
779,EXEMPLA SAINT JOSEPH HOSPITAL,31,1,1,2435,1031899.2976924999,217259.11686844006,1
780,EXETER HOSPITAL INC,82,1,1,13123,1655933.2694321002,563087.69499957,15
781,F F THOMPSON HOSPITAL,45,1,1,6205,379199.01543309994,186410.40784742,20
782,FAIRBANKS MEMORIAL HOSPITAL,48,1,1,6996,1028745.4785668999,583814.8945463,6
783,FAIRFIELD MEDICAL CENTER,99,1,1,7450,1537521.03481741,628587.5478788604,15
784,FAIRMONT GENERAL HOSPITAL,60,1,1,5020,709878.9754675999,298408.90329501,20
785,FAIRVIEW DEVELOPMENTAL CENTER,5,1,1,714,61357.8861089,14590.42569728,12
786,FAIRVIEW HOSPITAL,110,1,1,16357,3393425.0462509296,841112.9219877699,11
787,FAIRVIEW LAKES  HEALTH SERVICES,45,1,1,9026,574412.3154944001,197096.35194072998,20
788,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,21,1,1,5411,171283.69378960005,72623.24516587,1
789,FAIRVIEW PARK HOSPITAL,69,1,1,3264,1911527.8649247994,481604.6454499299,6
790,FAIRVIEW RED WING HOSPITAL,32,1,1,17912,183655.77850939002,88678.11645542999,1
791,FAIRVIEW RIDGES HOSPITAL,76,1,1,4667,1492892.9464566999,495797.99453714996,6
792,FAIRVIEW SOUTHDALE HOSPITAL,111,1,1,13417,2856878.7127350005,866206.18752714,2
793,FAIRWAY MEDICAL CENTER,3,1,1,197,67224.98556500001,12046.419000099999,12
794,FAITH COMMUNITY HOSPITAL,4,1,1,66,17206.44853,20252.071323,12
795,FAITH REGIONAL HEALTH SERVICES,61,1,1,6030,1156139.8056926997,415079.54080955003,6
796,FALLBROOK HOSPITAL,22,1,1,863,593592.7026056,114397.66998410001,1
797,FALLS COMMUNITY HOSPITAL AND CLINIC,18,1,1,1519,149164.17522551998,79412.63905759,12
798,FALMOUTH HOSPITAL,86,1,1,8083,1208059.9672428006,718426.1079549703,15
799,FANNIN REGIONAL HOSPITAL,36,1,1,2373,675099.4439084,156939.12520276,1
800,FAULKNER HOSPITAL,72,1,1,5926,1303835.0897212997,484490.43632215,6
801,FAWCETT MEMORIAL HOSPITAL,111,1,1,6628,6392840.650959001,784795.6687362103,13
802,FAXTON-ST LUKE'S HEALTHCARE,94,1,1,5604,2208793.8020339007,745388.4706053898,2
803,FAYETTE MEDICAL CENTER,25,1,1,1368,365697.6767189999,121619.7518248,1
804,FAYETTE REGIONAL HEALTH SYSTEM,35,1,1,3317,346642.93049045,145001.18900598,1
805,FEATHER RIVER HOSPITAL,68,1,1,17519,4871397.7108743,502370.82099585,2
806,FHN MEMORIAL HOSPITAL,70,1,1,6168,1162110.4132890003,383949.4838605802,6
807,FIRELANDS REGIONAL MEDICAL CENTER,97,1,1,17911,2022304.0909092305,670232.6874059902,2
808,FIRST STREET HOSPITAL LP,2,1,1,67,74615.18039899999,11121.9732231,12
809,FIRSTHEALTH MOORE REGIONAL HOSPITAL,122,1,1,31266,2585562.669214639,921616.30016432,11
810,FISHER-TITUS HOSPITAL,65,1,1,8189,700623.61890199,256952.37198505993,20
811,FITZGIBBON MEMORIAL HOSPITAL,35,1,1,1858,343411.0652708,150002.05854363,1
812,FIVE RIVERS MEDICAL CENTER,20,1,1,701,126144.00244,83112.6210332,12
813,FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H,40,1,1,4895,523366.85055222,208985.87622983,20
814,FLAGLER HOSPITAL,109,1,1,11171,4014764.4374617,953525.28005748,13
815,FLAGSTAFF MEDICAL CENTER,79,1,1,4191,3696526.3312626006,1207953.4008634998,13
816,FLEMING COUNTY HOSPITAL,22,1,1,1177,206885.33889090005,92020.53449220001,1
817,FLETCHER ALLEN HOSPITAL OF VERMONT,122,1,1,133270,2285472.786741417,1361964.4858436298,9
818,FLINT RIVER HOSPITAL,7,1,1,206,42972.6776063,30244.14818,12
819,FLORALA MEMORIAL HOSPITAL,8,1,1,112,58028.434749,35830.630413,12
820,FLORIDA HOSPITAL,123,1,1,50347,5163496.9963914985,1056777.1017924808,16
821,FLORIDA HOSPITAL CARROLLWOOD,35,1,1,3817,865998.5545026,193101.71431266997,20
822,FLORIDA HOSPITAL DELAND,77,1,1,8277,1748736.8056185,475894.9686805099,15
823,FLORIDA HOSPITAL FISH MEMORIAL,88,1,1,14252,2141226.1830588593,569535.77550304,15
824,FLORIDA HOSPITAL FLAGLER,91,1,1,34072,1883437.1171741288,606129.9821705205,19
825,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,112,1,1,30914,3566731.1116795596,793984.84813423,11
826,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,107,1,1,16936,2774401.485095519,763385.60744852,2
827,FLORIDA HOSPITAL TAMPA,112,1,1,7656,4170193.831156002,895705.2856105801,13
828,FLORIDA HOSPITAL WATERMAN,108,1,1,11452,3010569.3489674996,755308.8715686603,2
829,FLORIDA HOSPITAL ZEPHYRHILLS,101,1,1,21867,3872774.74543638,614024.55973805,11
830,FLOWER HOSPITAL,71,1,1,7557,2094272.8650949004,444616.8580688602,15
831,FLOWERS HOSPITAL,96,1,1,9200,3585091.2446363,621899.4056384,2
832,FLOYD MEDICAL CENTER,92,1,1,11376,2684801.6777389,755958.3249992,2
833,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,114,1,1,21202,2549334.7397327013,796408.3228806101,11
834,FLUSHING HOSPITAL MEDICAL CENTER,78,1,1,7799,1671320.1070807,989915.0783750403,15
835,FOOTHILL PRESBYTERIAN HOSPITAL,44,1,1,1405,1357832.7818707998,366952.88176443015,20
836,FOREST HILLS HOSPITAL,84,1,1,4718,2476012.8149374,932658.3494400001,2
837,FORREST CITY MEDICAL CENTER,13,1,1,423,158695.2626315,45196.3698211,12
838,FORREST GENERAL HOSPITAL,118,1,1,12795,2294834.54588622,904162.9443677804,2
839,FORSYTH MEMORIAL HOSPITAL,124,1,1,145633,2467110.0503717195,1027927.4400369601,9
840,FORT DEFIANCE INDIAN HOSPITAL,7,1,1,216,53781.640794000006,48672.374794,12
841,FORT DUNCAN MEDICAL CENTER,51,1,1,4994,1459106.2708219993,270957.97308524995,20
842,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,77,1,1,7080,1884356.3277514994,493280.7660345203,15
843,FORT HEALTHCARE,53,1,1,22906,536140.54137193,200125.21755016004,20
844,FORT LOUDOUN MEDICAL CENTER,30,1,1,1736,312005.69728450006,117034.34411407002,1
845,FORT MADISON COMMUNITY HOSPITAL,39,1,1,3595,284059.43486109993,141078.57494918,1
846,FORT SANDERS REGIONAL MEDICAL CENTER,104,1,1,7468,2465954.5706899995,747108.7690059101,2
847,FORT WALTON BEACH MEDICAL CENTER,96,1,1,4709,6022137.3506524,667597.0756407399,13
848,FORT WASHINGTON HOSPITAL,28,1,1,621,244845.89472,230533.389146,1
849,FOUNDATION SURGICAL HOSPITAL,6,1,1,1006,237978.790914,52348.693828100004,12
850,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,6,1,1,212,168825.463135,40317.65691922,12
851,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,78,1,1,4126,5979860.597193003,1048426.0406879999,13
852,FRANCISCAN PHYSICIANS HOSPITAL LLC,12,1,1,529,165266.55598670003,63345.991326399984,12
853,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,104,1,1,10462,2141265.8436749387,705565.7741086298,2
854,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,91,1,1,7846,1826548.4349240304,593409.89035712,15
855,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,32,1,1,2450,373609.43269380013,108163.13114471998,1
856,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL,49,1,1,3162,768066.6544156,248280.44361455002,20
857,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,69,1,1,4253,2238748.6991518997,582768.5883440402,15
858,FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,83,1,1,5058,2092156.5679804995,610662.49092288,15
859,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,85,1,1,37252,1962308.8948875996,565812.38527887,19
860,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,31,1,1,4993,405252.58889179997,121421.70349528,1
861,FRANCISCAN ST JAMES HEALTH,114,1,1,15024,3432780.8360131704,1053250.3508747495,13
862,FRANCISCAN ST MARGARET HEALTH - DYER,84,1,1,12726,2096975.3049849104,579424.9953694103,15
863,FRANCISCAN ST MARGARET HEALTH - HAMMOND,92,1,1,9612,2351365.98772454,771619.4304116601,2
864,FRANKFORT REGIONAL MEDICAL CENTER,57,1,1,3281,1198404.1587955002,284580.58150861,20
865,FRANKLIN HOSPITAL,76,1,1,4167,2347301.296147,619113.4075336402,15
866,FRANKLIN MEDICAL CENTER,27,1,1,1284,141895.09770550998,95798.30909231,1
867,FRANKLIN MEMORIAL HOSPITAL,42,1,1,3167,574901.2962473001,246054.60738978002,20
868,FRANKLIN REGIONAL MEDICAL CENTER,24,1,1,809,334437.2965742001,112035.20180683001,1
869,FRANKLIN SQUARE HOSPITAL CENTER,95,1,1,6660,1343814.615207,1266031.7505189998,2
870,FRANKLIN WOODS COMMUNITY HOSPITAL,30,1,1,1536,632707.5334678,135322.65742298999,1
871,FREDERICK MEMORIAL HOSPITAL,94,1,1,6075,1156831.4764049998,1089743.4517650004,2
872,FREEMAN HEALTH SYSTEM - FREEMAN WEST,113,1,1,29031,3118315.921566128,865890.6681728401,11
873,FREMONT AREA MEDICAL CENTER,59,1,1,8816,984950.9226636,295264.42117472,20
874,FRENCH HOSPITAL MEDICAL CENTER,53,1,1,2086,2915387.4258563,415906.75773600006,6
875,FRESNO HEART AND SURGICAL HOSPITAL,20,1,1,3243,552128.6584071,157862.12286104,1
876,FRESNO SURGICAL HOSPITAL,5,1,1,704,148843.85454099998,52326.2229262,12
877,FRIO REGIONAL HOSPITAL,8,1,1,183,36853.5421235,25946.9881387,12
878,FRISBIE MEMORIAL HOSPITAL,50,1,1,5202,759955.7107010899,280192.14577278,20
879,FROEDTERT MEM LUTHERAN HSPTL,118,1,1,86018,2727734.49234454,1210313.3352691894,3
880,FRYE REGIONAL MEDICAL CENTER,101,1,1,14644,3696027.9260391006,683032.6261824798,2
881,GADSDEN REGIONAL MEDICAL CENTER,93,1,1,7060,6632450.622988798,664571.4307747002,13
